,Material type,Elements,Ionic radius,Core size (nm),Hydro size (nm),Surface charge (mV),Surface area (m2/g),Cell type,Exposure dose (ug/mL),Topological polar surface area (Å²),a (Å),b (Å),c (Å),α (°),β (°),γ (°),Density (g/cm3),Viability (%),cell_line,cell_species,cell_origin,time,toxicity,average electronegativity,Molecular weight (g/mol),Number of atoms
93,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,0.8,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
94,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,6.3,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
95,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,12.5,43.4,3.945,3.945,6.151,90,90.0,120,6.52,80.0,,,,,,2.504,325.80914,5.0
96,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,200.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,80.0,,,,,,2.675,74.69279999999999,2.0
97,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,1.6,43.4,4.92,12.46,5.42,90,90.0,90,5.36,80.0,,,,,,2.884,291.5182,5.0
98,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,200.0,43.4,4.92,12.46,5.42,90,90.0,90,5.36,80.0,,,,,,2.884,291.5182,5.0
99,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,0.4,34.1,5.028,5.028,5.519,90,90,120,2.48,80.0,,,,,,2.9266666666666663,60.0843,3.0
100,ZnO,Zn,74.0,22.6,114.7,28.8,47.4,0,1.6,17.1,3.289,3.289,5.307,90,90,120,5.44,80.5,,,,,,2.545,81.4084,2.0
101,CoO,Co,65.0,71.8,208.3,21.6,13.0,0,6.3,17.1,4.24,4.24,4.24,90,90.0,90,6.31,80.9,,,,,,2.66,74.93259499999999,2.0
102,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,0.4,43.4,5.178,5.178,5.178,55,55,55,3.87,81.0,,,,,,2.708,101.9612772,5.0
103,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,50.0,43.4,5.178,5.178,5.178,55,55,55,3.87,81.0,,,,,,2.708,101.9612772,5.0
104,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,1.6,43.4,5.178,5.178,5.178,55,55,55,3.87,81.0,,,,,,2.708,101.9612772,5.0
105,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,25.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,81.0,,,,,,2.6666666666666665,172.1148,3.0
106,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,0.8,34.1,5.41,5.41,5.41,90,90.0,90,6.99,81.0,,,,,,2.6666666666666665,172.1148,3.0
107,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,6.3,43.4,8.276,8.276,8.276,109,109,109,4.86,81.0,,,,,,2.7960000000000003,159.6882,5.0
108,Fe2O3,Fe,55.0,12.3,196.6,-2.1,93.1,1,0.4,43.4,8.276,8.276,8.276,109,109,109,4.86,81.0,,,,,,2.7960000000000003,159.6882,5.0
109,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,0.8,34.1,5.12,5.18,5.25,90,90.0,90,9.97,81.0,,,,,,2.7266666666666666,210.4888,3.0
110,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,81.0,,,,,,2.7266666666666666,210.4888,3.0
111,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,100.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,81.0,,,,,,2.7760000000000002,277.63419999999996,5.0
112,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,50.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,81.0,,,,,,2.7760000000000002,277.63419999999996,5.0
113,La2O3,La,103.2,24.6,162.6,54.3,30.0,1,0.4,43.4,3.945,3.945,6.151,90,90.0,120,6.52,81.0,,,,,,2.504,325.80914,5.0
114,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,0.8,17.1,4.171,4.171,4.171,90,90.0,90,6.62,81.0,,,,,,2.675,74.69279999999999,2.0
115,NiO,Ni,69.0,13.1,202.8,27.6,68.7,0,50.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,81.0,,,,,,2.675,74.69279999999999,2.0
116,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,0.4,17.1,4.171,4.171,4.171,90,90.0,90,6.62,81.0,,,,,,2.675,74.69279999999999,2.0
117,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,0.4,43.4,4.92,12.46,5.42,90,90.0,90,5.36,81.0,,,,,,2.884,291.5182,5.0
118,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,12.5,43.4,4.92,12.46,5.42,90,90.0,90,5.36,81.0,,,,,,2.884,291.5182,5.0
119,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
120,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,0.4,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
121,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,12.5,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
122,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,81.0,,,,,,2.9266666666666663,60.0843,3.0
123,CoO,Co,65.0,71.8,191.6,21.6,13.0,1,25.0,17.1,4.24,4.24,4.24,90,90.0,90,6.31,81.5,,,,,,2.66,74.93259499999999,2.0
124,CuO,Cu,73.0,12.8,305.3,7.6,74.2,0,6.3,17.1,2.993,2.993,2.993,60,60,60,6.97,81.7,,,,,,2.67,79.5454,2.0
125,Mn2O3,Mn,58.0,51.5,298.4,-46.1,25.9,0,12.5,43.4,5.752,5.752,9.426,90,90.0,90,4.59,81.8,,,,,,2.684,157.87429,5.0
126,Al2O3,Al,53.5,14.7,260.4,0.0,101.4,0,200.0,43.4,5.178,5.178,5.178,55,55,55,3.87,82.0,,,,,,2.708,101.9612772,5.0
127,Al2O3,Al,53.5,14.7,230.5,0.0,101.4,1,0.8,43.4,5.178,5.178,5.178,55,55,55,3.87,82.0,,,,,,2.708,101.9612772,5.0
128,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,1.6,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
129,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,6.3,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
130,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,50.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
131,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,200.0,34.1,5.41,5.41,5.41,90,90.0,90,6.99,82.0,,,,,,2.6666666666666665,172.1148,3.0
132,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,0.4,43.4,8.276,8.276,8.276,109,109,109,4.86,82.0,,,,,,2.7960000000000003,159.6882,5.0
133,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,50.0,43.4,8.276,8.276,8.276,109,109,109,4.86,82.0,,,,,,2.7960000000000003,159.6882,5.0
134,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,200.0,43.4,8.276,8.276,8.276,109,109,109,4.86,82.0,,,,,,2.7960000000000003,159.6882,5.0
135,Gd2O3,Gd,93.5,43.8,227.4,6.5,40.0,0,3.2,43.4,10.796,10.796,10.796,90,90.0,90,7.51,82.0,,,,,,2.544,362.4982,5.0
136,Gd2O3,Gd,93.5,43.8,222.0,6.5,40.0,1,50.0,43.4,10.796,10.796,10.796,90,90.0,90,7.51,82.0,,,,,,2.544,362.4982,5.0
137,HfO2,Hf,71.0,28.4,307.7,33.5,21.8,0,12.5,34.1,5.12,5.18,5.25,90,90.0,90,9.97,82.0,,,,,,2.7266666666666666,210.4888,3.0
138,HfO2,Hf,71.0,28.4,280.6,33.5,21.8,1,200.0,34.1,5.12,5.18,5.25,90,90.0,90,9.97,82.0,,,,,,2.7266666666666666,210.4888,3.0
139,In2O3,In,80.0,59.6,259.8,61.9,14.0,0,100.0,43.4,10.118,10.118,10.118,90,90.0,90,6.75,82.0,,,,,,2.7760000000000002,277.63419999999996,5.0
140,In2O3,In,80.0,59.6,244.5,61.9,14.0,1,0.8,43.4,10.118,10.118,10.118,90,90.0,90,6.75,82.0,,,,,,2.7760000000000002,277.63419999999996,5.0
141,La2O3,La,103.2,24.6,155.1,54.3,30.0,0,200.0,43.4,3.945,3.945,6.151,90,90.0,120,6.52,82.0,,,,,,2.504,325.80914,5.0
142,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,100.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,82.0,,,,,,2.675,74.69279999999999,2.0
143,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,12.5,17.1,4.171,4.171,4.171,90,90.0,90,6.62,82.0,,,,,,2.675,74.69279999999999,2.0
144,NiO,Ni,69.0,13.1,189.5,27.6,68.7,1,200.0,17.1,4.171,4.171,4.171,90,90.0,90,6.62,82.0,,,,,,2.675,74.69279999999999,2.0
145,Sb2O3,Sb,76.0,11.8,274.9,-35.3,93.6,0,0.8,43.4,4.92,12.46,5.42,90,90.0,90,5.36,82.0,,,,,,2.884,291.5182,5.0
146,Sb2O3,Sb,76.0,11.8,195.5,-35.3,93.6,1,6.3,43.4,4.92,12.46,5.42,90,90.0,90,5.36,82.0,,,,,,2.884,291.5182,5.0
147,SiO2,Si,40.0,13.5,181.9,-31.8,640.0,0,6.3,34.1,5.028,5.028,5.519,90,90,120,2.48,82.0,,,,,,2.9266666666666663,60.0843,3.0
148,SiO2,Si,40.0,13.5,46.4,-31.8,640.0,1,0.8,34.1,5.028,5.028,5.519,90,90,120,2.48,82.0,,,,,,2.9266666666666663,60.0843,3.0
149,CeO2,Ce,87.0,18.3,261.6,21.4,44.0,0,6.3,34.1,5.41,5.41,5.41,90,90.0,90,6.99,83.0,,,,,,2.6666666666666665,172.1148,3.0
150,CeO2,Ce,87.0,18.3,248.4,21.4,44.0,1,0.8,34.1,5.41,5.41,5.41,90,90.0,90,6.99,83.0,,,,,,2.6666666666666665,172.1148,3.0
151,Fe2O3,Iron,55.0,12.3,206.3,-2.1,93.1,0,12.5,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
152,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,25.0,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
153,Fe2O3,Fe,55.0,12.3,206.3,-2.1,93.1,0,1.6,43.4,8.276,8.276,8.276,109,109,109,4.86,83.0,,,,,,2.7960000000000003,159.6882,5.0
